conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2.00373E+18,Wed Dec 24 23:59:15 +0000 2025,0,@DS_yantie Lah itu MBG apakabar??? Pak pak ,2.00398E+18,,DS_yantie,in,,0,0,0,https://x.com/undefined/status/2003978813299208444,7.99867E+17,
2.00398E+18,Wed Dec 24 23:58:53 +0000 2025,0,MBG anak sehat Indonesia hebat #FaktaIndonesia #MakanBergiziGratis #DukungMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/y5N76ezq9Q,2.00398E+18,https://pbs.twimg.com/media/G8-QBmJb0AUqtl5.jpg,,in,,0,0,0,https://x.com/undefined/status/2003978719199973403,1.61586E+18,
2.00398E+18,Wed Dec 24 23:58:23 +0000 2025,0,Pentingnya program MBG untuk masa depan #FaktaIndonesia #MakanBergiziGratis #ManfaatMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/MwOGN3NrKv,2.00398E+18,https://pbs.twimg.com/media/G8-P6E2bQAAUbq-.jpg,,in,,0,0,0,https://x.com/undefined/status/2003978592389398881,1.61586E+18,
2.00398E+18,Wed Dec 24 23:58:09 +0000 2025,0,MBG adalah langkah nyata membangun generasi sehat #MakanBergiziGratis #GenerasiSehat #IndonesiaEmas https://t.co/zOoG9ILuNE,2.00398E+18,https://pbs.twimg.com/media/G8-P26JbYAA7nnM.jpg,,in,,0,0,0,https://x.com/undefined/status/2003978536047268033,1.61586E+18,
2.00396E+18,Wed Dec 24 23:58:09 +0000 2025,1,@komaria_cocom MBG anakku loh kak bikin ngelus dada Buat 4 hari Salak susu uht kotak kecil 3 sama biskuit Regal 3 bungkus buat 4 hari Telor 3.,2.00398E+18,,komaria_cocom,in,,0,0,0,https://x.com/undefined/status/2003978533836820554,1.97178E+18,
2.00398E+18,Wed Dec 24 23:57:58 +0000 2025,0,MBG buat anak lebih fokus belajar #MakanBergiziGratis #GenerasiSehat #IndonesiaEmas https://t.co/od7XzFf0Rs,2.00398E+18,https://pbs.twimg.com/media/G8-P0FcacAAEDVF.jpg,,in,,0,0,0,https://x.com/undefined/status/2003978486764261723,1.61586E+18,
2.00398E+18,Wed Dec 24 23:57:29 +0000 2025,0,MBG Pondasi masa depan cerah #MakanBergiziGratis #GenerasiSehat #IndonesiaEmas https://t.co/SObTGfUDta,2.00398E+18,https://pbs.twimg.com/media/G8-PtMPb0AIQqBA.jpg,,in,,0,0,0,https://x.com/undefined/status/2003978368153538673,1.61586E+18,
2.00398E+18,Wed Dec 24 23:57:19 +0000 2025,0,Bersama dukung program MBG #MakanBergiziGratis #GenerasiSehat #IndonesiaEmas https://t.co/RGR2y64GmR,2.00398E+18,https://pbs.twimg.com/media/G8-PqnXb0AEAC4e.jpg,,in,,0,0,0,https://x.com/undefined/status/2003978324562137170,1.61586E+18,
2.00398E+18,Wed Dec 24 23:57:05 +0000 2025,0,MBG anak sehat Indonesia hebat #FaktaIndonesia #MakanBergiziGratis #DukungMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/3FZLsuiZBp,2.00398E+18,https://pbs.twimg.com/media/G8-PnTBb0AI_4c2.jpg,,in,,0,0,0,https://x.com/undefined/status/2003978267825787253,1.61586E+18,
2.00398E+18,Wed Dec 24 23:55:44 +0000 2025,0,ngomong tentang bersyukur tapi pencetus mbg masih nanem sawit sampe menyebabkan bencana alam.,2.00398E+18,,,in,,0,0,0,https://x.com/undefined/status/2003977927097307336,1.47027E+18,
2.00398E+18,Wed Dec 24 23:55:41 +0000 2025,0,Astagfirullah hal Adzim beneran rezim anti kritik nirempati sampai ke segala bidang gabisa nerima kalo emang gagal sama lah kek mbg noh,2.00398E+18,,,in,,0,0,0,https://x.com/undefined/status/2003977912769564809,1.38975E+18,
2.00398E+18,Wed Dec 24 23:54:40 +0000 2025,0,mereka ni emg 02 parah wkwkw dan kek masih konsisten tone deaf nya sampe skrg. pdhl grgr adanya mbg jg warung makan dia sempet sepi karena anak2 sekolah jd gak beli di warung makan dia,2.00398E+18,,sanzumeong,in,,0,0,0,https://x.com/undefined/status/2003977659861393679,1.38453E+18,
2.00398E+18,Wed Dec 24 23:54:39 +0000 2025,0,kemarin gue baru tau secara langsung di warung langganan gue dia bilang si ibu: ini jatah mbg anakku td diambil ke sekolah aku: knp dibawa pulang? si ibu: kan libur kak aku: lah kok ttp dpt? si bpk: ya itulah baiknya pemerintah sm kita aku: lah buang2 anggaran pak ,2.00398E+18,,,in,,0,2,0,https://x.com/undefined/status/2003977656065515840,1.38453E+18,
2.00384E+18,Wed Dec 24 23:53:04 +0000 2025,0,@Korea_K3BBQ MBG untuk masa depan Indonesia.,2.00398E+18,,Korea_K3BBQ,in,,0,0,0,https://x.com/undefined/status/2003977255979237633,1.3669E+18,
2.00398E+18,Wed Dec 24 23:52:12 +0000 2025,0,iya ih edan libur2 suruh ke sekolah ambil mbg,2.00398E+18,,,in,,0,0,0,https://x.com/undefined/status/2003977038684897317,1.34161E+18,
2.00301E+18,Wed Dec 24 23:49:10 +0000 2025,0,@serigalabelacu @zksvlk aku liat menu2 mbg ni agak miris njir di pikiranku mbg tu makanan yg healthy tp gizi seimbang gt ngerti ga si tp yg kutemukan kek katsu burger ya gpp siih terserah pemerintah aj dah no words ,2.00398E+18,,serigalabelacu,in,,0,0,0,https://x.com/undefined/status/2003976275560706402,1.06816E+18,
2.0038E+18,Wed Dec 24 23:49:03 +0000 2025,0,@Mas_zobirin @ARSIPAJA Gak usah MBG malah bikin byk pejabat yg sinting,2.00398E+18,,Mas_zobirin,in,,0,0,0,https://x.com/undefined/status/2003976245516947642,78485752,
2.00375E+18,Wed Dec 24 23:48:07 +0000 2025,0,@tempodotco Bangsa yg Penuh Syukur Ada tiwel bersyukur Ada getuk bersyukur Ada nasi jagung bersyukur Ada BLT bersyukur Ada MBG HARUS makin bersyukur,2.00398E+18,,tempodotco,in,,0,0,0,https://x.com/undefined/status/2003976009591541851,7.00472E+17,
2.00362E+18,Wed Dec 24 23:46:02 +0000 2025,2,@HumorJonTampan Dari nama jabatannya saja sudah aneh di negara ini? Apa maksud dan tujuan serta tugas badan gizi? Ketika dia kerja juga jadi ngak jelas! Di program MBG yg dipaksakan dan dilaksanakan negara .,2.00398E+18,,HumorJonTampan,in,,0,2,0,https://x.com/undefined/status/2003975484875723174,1.777E+18,
